random_seed,requested_duration_s,campaign,boundary_label,altitude_gain_scale,protection_low_m_s,dive_slope,physical_mass_scale,actual_thrust_scale,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.15477659449338,7.412646826789617,7.337614404873231,0.0,0.4881861141403126,0.0,0.0,3.0,6,60.0,15,3.75,0,3.069202505361089,0.6618659579489687,1.9576851402968165,4.888248336317655,1.8675212700399677,0.3290250707655496,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.22088371839688,9.158659934965364,7.282972300465456,0.0,0.48782260996001453,0.0,0.0,3.0,7,60.0,15,3.75,0,3.076065874399495,0.667121605044483,1.982359253181435,4.9097591012921935,1.848097027873363,0.3408618333160492,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.411642862002104,7.563259525454896,7.352667057091462,0.0,0.4921846601235914,0.0,0.0,3.0,8,60.0,15,3.75,0,2.9262440861055548,0.6335169202889853,1.7909081110686909,4.717711317170051,1.8996679694779648,0.3291163796427335,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.49815598439696,7.270900597290743,7.386399356569091,0.0,0.49036713922210107,0.0,0.0,3.0,9,60.0,15,3.75,0,2.944103719420457,0.6252315013792153,1.8058816501650796,4.7325504747787095,1.9083636310821674,0.3142883973547723,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.78410649561657,7.298319417165774,7.412594522324819,0.0,0.4772809887313704,0.0,0.0,3.0,10,60.0,15,3.75,0,3.0666513754314884,0.6444320930841652,2.0880547333717585,5.019809481667427,1.859852306258156,0.2973535431048451,0.06627358933048151,3.9902737615486155,0.052649665041493834,0.32157783887484226,4.188552246593023,1.4280565011100315
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.00717389444023,7.458037394758105,7.258155053924901,0.0,0.48964013086150493,0.0,0.0,3.0,11,60.0,15,3.75,0,3.0454499953970906,0.6863043560891914,1.9333302996436057,4.863512788357595,1.8477320875670704,0.3539741675579438,0.06592790622121616,4.548088603371248,0.06045684138226205,0.2898650662349152,4.103410585085613,1.4522301712184607
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.68593949427639,7.848354184017172,7.207458444247743,0.0,0.4914576517629953,0.0,0.0,3.0,12,60.0,15,3.75,0,2.9975016512732644,0.6764271173547491,1.8664130883566017,4.796809261214723,1.8624445949511812,0.35457354197823204,0.06527407704739453,4.6863227333968975,0.06815294053044922,0.3030470791558441,3.95091798696667,1.4170355867813895
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.31981863692407,7.235620332132695,7.530848484862154,0.0,0.49073064340239914,0.0,0.0,3.0,13,60.0,15,3.75,0,2.896762092439176,0.6018061629435373,1.7558438884742718,4.6781863669525965,1.9304828964971883,0.3020187601017097,0.06258078308375867,4.731953134052932,0.0507171319312291,0.29305038635192376,3.9447136158850062,1.4656254103938693
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.10356698887478,8.069171491129726,7.21736437174919,0.0,0.4870956015994184,0.0,0.0,3.0,14,60.0,15,3.75,0,3.069208447741608,0.6793342100871052,1.9575942539127957,4.892252292933117,1.860837170014861,0.34704282874595516,0.06492394526159549,4.2685017141274795,0.06515629612812958,0.30190902616838744,3.9624706899223114,1.4287107919669706
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.13740355454389,7.1609759975417875,7.212869062795146,0.0,0.48782260996001453,0.0,0.0,3.0,15,60.0,15,3.75,0,3.0678568194992475,0.7118510180327262,1.9614317268989536,4.892707737658252,1.822363473882315,0.37050286779859976,0.06680778830559155,4.5652735761584315,0.060716124154179485,0.2821920820822479,4.228529410068424,1.4492631579477007
