random_seed,requested_duration_s,fault,fault_activation_time_s,initial_altitude_m,altitude_at_activation_m,airspeed_at_activation_m_s,roll_at_activation_deg,pitch_at_activation_deg,waypoint_at_activation,failure_mode,time_to_failure_s,time_from_fault_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,disabled_altitude_feedback,30.0,20.0,5.140465532932841,3.9994436400535394,-7.07860462106919,6.514900258837621,3,none,,,36.33347951479308,7.573306357798994,9.243175180505352,0.0,0.47619047619047616,0.0,0.0,4.0,6,60.0,14,3.5,1,2.964172817099641,6.67534046654444,0.7159934298036456,4.568099300555992,1.1452422168518757,0.17780876768592807,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861
7,60.0,disabled_altitude_feedback,30.0,20.0,5.139396170454683,3.995148233582035,-7.038538540435062,6.606831488661294,3,none,,,36.418273538797585,9.323589728822467,9.239279702143387,0.0,0.47837150127226463,0.0,0.0,4.0,7,60.0,15,3.75,1,2.970766643157066,6.655877654449068,0.7328592266527149,4.5771027924133,1.1272317184191687,0.18953401254223048,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793
7,60.0,disabled_altitude_feedback,30.0,20.0,5.954323363148867,3.834518247577058,-3.843251671598092,3.029184003472312,3,none,,,35.69157178465027,7.7305795263834,9.09877024294916,0.0,0.4612868047982552,0.0,0.0,4.0,8,60.0,14,3.5,1,2.900261500084549,6.8244267838402815,0.6156230395681114,4.436121938800447,2.2150925477381374,0.18847428705854302,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907
7,60.0,disabled_altitude_feedback,30.0,20.0,5.907720012128049,3.814498437463369,-4.249931906010629,3.5865942443933334,3,none,,,35.78162480999013,7.435534086514086,9.126213277608139,0.0,0.4631043256997455,0.0,0.0,4.0,9,60.0,14,3.5,1,2.9039824373923007,6.8236575133096435,0.6242815338173608,4.447495845588387,2.2250073957638423,0.17954520495855614,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432
7,60.0,disabled_altitude_feedback,30.0,20.0,4.548286997295092,4.271468327012414,-5.278560832420889,4.305584852870702,3,none,,,37.11491310658987,7.450825313937868,9.33549626724091,0.0,0.4954561977462741,0.0,0.018538713195201745,4.0,10,60.0,15,3.75,1,3.0020179487478234,6.647797262494181,0.8770670915970066,4.742309561218221,0.18897604175561036,0.1578423321164105,0.06627358933048151,3.9902737615486155,0.052649665041493834,0.32157783887484226,4.188552246593023,1.4280565011100315
7,60.0,disabled_altitude_feedback,30.0,20.0,5.220977520324739,3.918583212812201,-6.640921135956723,5.792000150133497,3,none,,,36.165805883212464,7.623738506238798,9.19330835443141,0.0,0.4732824427480916,0.0,0.0,4.0,11,60.0,14,3.5,1,2.941291612815524,6.645770360441056,0.6902269376570017,4.536757276015903,1.1331608266029036,0.19534827952408737,0.06592790622121616,4.548088603371248,0.06045684138226205,0.2898650662349152,4.103410585085613,1.4522301712184607
7,60.0,disabled_altitude_feedback,30.0,20.0,5.471930509082494,3.84469562833104,-5.144915704693875,4.289081490654897,3,none,,,35.84334388338316,8.019044358102127,9.103527740349874,0.0,0.4663758633224282,0.0,0.0,4.0,12,60.0,14,3.5,1,2.9090765998350543,6.659477355985974,0.6452419746175392,4.481819310442311,1.5330193004497834,0.20483045303141892,0.06527407704739453,4.6863227333968975,0.06815294053044922,0.3030470791558441,3.95091798696667,1.4170355867813895
7,60.0,disabled_altitude_feedback,30.0,20.0,6.26850600345995,3.803563796053324,-3.6783290244263886,3.0302819998798562,3,none,,,35.67814952758311,7.396207838267969,9.140923150508065,0.0,0.4598327880770629,0.0,0.0,4.0,13,60.0,14,3.5,1,2.9023765509434494,6.9730316448740295,0.6089871011676062,4.41890288611337,2.660830828417809,0.16730108210899378,0.06258078308375867,4.731953134052932,0.0507171319312291,0.29305038635192376,3.9447136158850062,1.4656254103938693
7,60.0,disabled_altitude_feedback,30.0,20.0,4.975994591183801,4.0063763178870975,-7.123978510335744,6.278378584112016,3,none,,,36.30368492658317,8.234543737983103,9.195262194928473,0.0,0.47619047619047616,0.0,0.0,4.0,14,60.0,14,3.5,1,2.9630492142695535,6.605679869233537,0.7123124171645797,4.570795529261062,0.9495041318170817,0.1942454928990819,0.06492394526159549,4.2685017141274795,0.06515629612812958,0.30190902616838744,3.9624706899223114,1.4287107919669706
7,60.0,disabled_altitude_feedback,30.0,20.0,5.052330416939881,3.9562963118741665,-6.89056035617898,6.018134476712639,3,none,,,36.2843417937959,7.328295615723896,9.20229438099642,0.0,0.47509996364958196,0.0,0.0,4.0,15,60.0,14,3.5,1,2.9509786107868585,6.610792039439438,0.7083244619352977,4.55932006179182,0.8395539468642677,0.20312144708951102,0.06680778830559155,4.5652735761584315,0.060716124154179485,0.2821920820822479,4.228529410068424,1.4492631579477007
